DATE:,2017/12/3 19:54,,,,,,,,,,,,
TOOL:,DATE,,,,,,,,,,,,
,,No.,USECASE NAME,IS IN BENCHMARKS,IS IN SCRIPTFILE,TOTAL,FOUNDED,MISSED,EXTRA,PR,FNR,FPR,OVERHEAD
,,13,testAtomicity1,total 2 races;,1 right race;,1 missing race;,0 extra race;,precision is 50.0%;,FNR is 50.0%;,FPR is0.0%;,,,
,,14,testAtomicity4,total 2 races;,1 right race;,1 missing race;,0 extra race;,precision is 50.0%;,FNR is 50.0%;,FPR is0.0%;,,,
,,15,testAtomicity6,total 1 races;,1 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,16,testAtomicity7,total 2 races;,2 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,17,testAtomicity8,total 3 races;,3 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,18,testAtomicity9,total 10 races;,10 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,19,testAtomicity11,total 2 races;,2 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,20,testAtomicity12,total 2 races;,2 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,21,testAtomicity13,total 3 races;,2 right race;,1 missing race;,0 extra race;,precision is 66.66666666666667%;,FNR is 33.333333333333336%;,FPR is0.0%;,,,
,,22,testAtomicity14,total 4 races;,4 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,23,account,total 4 races;,2 right race;,2 missing race;,0 extra race;,precision is 50.0%;,FNR is 50.0%;,FPR is0.0%;,,,
,,24,airlinetickets,total 7 races;,5 right race;,2 missing race;,0 extra race;,precision is 71.42857142857143%;,FNR is 28.571428571428573%;,FPR is0.0%;,,,
,,25,boundedbuffer,total 12 races;,11 right race;,1 missing race;,1 extra race;,precision is 91.66666666666667%;,FNR is 8.333333333333334%;,FPR is8.333333333333334%;,,,
,,26,bubblesort,total 6 races;,4 right race;,2 missing race;,63 extra race;,precision is 66.66666666666667%;,FNR is 33.333333333333336%;,FPR is1050.0%;,,,
,,27,bufwriter,total 2 races;,2 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
